Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2
50.870872,2.6,27.38,4931,8,3,0,132.26,1,0
50.690693,8.8,27.38,1047,8,4,0,446.08,1,0
50.540543,12.6,27.38,1047,8,5,0,636.81,1,0
50.270271,19.2,27.38,2706,8,8,0,965.19,1,0
50.780781,10.4,27.38,9365,8,8,0,528.12,1,0
50.870872,6.4,27.38,12291,8,8,0,325.57,1,0
50.840843,6.6,27.38,14656,8,8,0,335.55,1,0
50.840843,6.2,27.38,16608,8,8,0,315.21,1,0
50.870872,5.6,27.38,17135,8,8,0,284.88,1,0
50.900902,6.2,27.38,18579,8,8,0,315.59,1,0
50.870872,6,27.38,20021,8,8,0,305.23,1,0
50.870872,5.6,27.38,21085,8,8,0,284.88,1,0
50.870872,6,27.38,22518,8,8,0,305.23,1,0
50.840843,5.8,27.38,22579,8,8,0,294.88,1,0
50.870872,5.6,27.38,23521,8,8,0,284.88,1,0
50.840843,6,27.38,23918,8,8,0,305.05,1,0
50.870872,5.6,27.38,24262,8,8,0,284.88,1,0
50.900902,5.8,27.38,25010,8,8,0,295.23,1,0
50.870872,5.6,27.38,25839,8,8,0,284.88,1,0
50.870872,5.4,27.38,26059,8,8,0,274.7,1,0
50.870872,5.6,27.38,26530,8,8,0,284.88,1,0
50.870872,5,27.38,26816,8,8,0,254.35,1,0
50.870872,5.6,27.38,26949,8,8,0,284.88,1,0
50.870872,6,27.38,27529,8,8,0,305.23,1,0
50.900902,5,27.38,27544,8,8,0,254.5,1,0
50.840843,5.4,27.38,27732,8,8,0,274.54,1,0
50.840843,6,27.38,27518,8,8,0,305.05,1,0
50.840843,5.4,27.38,28084,8,8,0,274.54,1,0
50.870872,5.2,27.38,28544,8,8,0,264.53,1,0
50.870872,5.4,27.38,28510,8,8,0,274.7,1,0
50.870872,5.4,27.38,28604,8,8,0,274.7,1,0
50.840843,6,27.38,28704,8,8,0,305.05,1,0
50.840843,5,27.38,28957,8,8,0,254.2,1,0
50.840843,5.2,27.38,28947,8,8,0,264.37,1,0
50.870872,5,27.38,28945,8,8,0,254.35,1,0
50.870872,5.6,27.38,29294,8,8,0,284.88,1,0
50.870872,6,27.38,29733,8,8,0,305.23,1,0
50.840843,5.2,27.38,29401,8,8,0,264.37,1,0
50.840843,5.2,27.38,29439,8,8,0,264.37,1,0
50.840843,5.2,27.38,29407,8,8,0,264.37,1,0
50.840843,5.4,27.38,29682,8,8,0,274.54,1,0
50.870872,5.6,27.38,29870,8,8,0,284.88,1,0
50.840843,5,27.38,29515,8,8,0,254.2,1,0
50.840843,5.2,27.38,29639,8,8,0,264.37,1,0
